rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Triaenodon obesus,39384,2013,2009,NT
1,Alopias vulpinus,39339,2012,2009,VU
1,Balaenoptera musculus,2477,2012,2008,EN
1,Carcharhinus melanopterus,39375,2012,2009,NT
1,Cheilinus undulatus,4592,2012,2004,EN
1,Chelonia mydas,4615,2012,2004,EN
1,Eretmochelys imbricata,8005,2012,2008,CR
1,Isurus oxyrinchus,39341,2012,2009,VU
1,Isurus oxyrinchus,161750,2012,2009,VU
1,Lepidochelys olivacea,11534,2012,2008,VU
1,Megaptera novaeangliae,13006,2012,2008,LC
1,Prionace glauca,39381,2012,2009,NT
1,Rhincodon typus,19488,2012,2005,VU
1,Steno bredanensis,20738,2012,2012,LC
1,Triaenodon obesus,39384,2012,2009,NT
1,Alopias vulpinus,39339,2011,2009,VU
1,Balaenoptera musculus,2477,2011,2008,EN
1,Carcharhinus melanopterus,39375,2011,2009,NT
1,Cheilinus undulatus,4592,2011,2004,EN
1,Chelonia mydas,4615,2011,2004,EN
1,Eretmochelys imbricata,8005,2011,2008,CR
1,Isurus oxyrinchus,39341,2011,2009,VU
1,Isurus oxyrinchus,161750,2011,2009,VU
1,Lepidochelys olivacea,11534,2011,2008,VU
1,Megaptera novaeangliae,13006,2011,2008,LC
1,Prionace glauca,39381,2011,2009,NT
1,Rhincodon typus,19488,2011,2005,VU
1,Steno bredanensis,20738,2011,2008,LC
1,Triaenodon obesus,39384,2011,2009,NT
1,Alopias vulpinus,39339,2010,2009,VU
1,Balaenoptera musculus,2477,2010,2008,EN
1,Carcharhinus melanopterus,39375,2010,2009,NT
1,Cheilinus undulatus,4592,2010,2004,EN
1,Chelonia mydas,4615,2010,2004,EN
1,Eretmochelys imbricata,8005,2010,2008,CR
1,Isurus oxyrinchus,39341,2010,2009,VU
1,Isurus oxyrinchus,161750,2010,2009,VU
1,Lepidochelys olivacea,11534,2010,2008,VU
1,Megaptera novaeangliae,13006,2010,2008,LC
1,Prionace glauca,39381,2010,2009,NT
1,Rhincodon typus,19488,2010,2005,VU
1,Steno bredanensis,20738,2010,2008,LC
1,Triaenodon obesus,39384,2010,2009,NT
1,Alopias vulpinus,39339,2009,2009,VU
1,Balaenoptera musculus,2477,2009,2008,EN
1,Carcharhinus melanopterus,39375,2009,2009,NT
1,Cheilinus undulatus,4592,2009,2004,EN
1,Chelonia mydas,4615,2009,2004,EN
1,Eretmochelys imbricata,8005,2009,2008,CR
1,Isurus oxyrinchus,39341,2009,2009,VU
1,Isurus oxyrinchus,161750,2009,2009,VU
1,Lepidochelys olivacea,11534,2009,2008,VU
1,Megaptera novaeangliae,13006,2009,2008,LC
1,Prionace glauca,39381,2009,2009,NT
1,Rhincodon typus,19488,2009,2005,VU
1,Steno bredanensis,20738,2009,2008,LC
1,Triaenodon obesus,39384,2009,2009,NT
1,Alopias vulpinus,39339,2008,,VU
1,Balaenoptera musculus,2477,2008,2008,EN
1,Carcharhinus melanopterus,39375,2008,2000,NT
1,Cheilinus undulatus,4592,2008,2004,EN
1,Chelonia mydas,4615,2008,2004,EN
1,Eretmochelys imbricata,8005,2008,2008,CR
1,Isurus oxyrinchus,39341,2008,2000,NT
1,Isurus oxyrinchus,161750,2008,,VU
1,Lepidochelys olivacea,11534,2008,2008,VU
1,Megaptera novaeangliae,13006,2008,2008,LC
1,Prionace glauca,39381,2008,2000,NT
1,Rhincodon typus,19488,2008,2005,VU
1,Steno bredanensis,20738,2008,2008,LC
1,Triaenodon obesus,39384,2008,2000,NT
1,Alopias vulpinus,39339,2007,,VU
1,Balaenoptera musculus,2477,2007,1996,EN
1,Carcharhinus melanopterus,39375,2007,2000,NT
1,Cheilinus undulatus,4592,2007,2004,EN
1,Chelonia mydas,4615,2007,2004,EN
1,Eretmochelys imbricata,8005,2007,1996,CR
1,Isurus oxyrinchus,39341,2007,2000,NT
1,Isurus oxyrinchus,161750,2007,,VU
1,Lepidochelys olivacea,11534,2007,1996,EN
1,Megaptera novaeangliae,13006,2007,1996,VU
1,Prionace glauca,39381,2007,2000,NT
1,Rhincodon typus,19488,2007,2005,VU
1,Steno bredanensis,20738,2007,,LC
1,Triaenodon obesus,39384,2007,2000,NT
1,Alopias vulpinus,39339,2006,,VU
1,Balaenoptera musculus,2477,2006,1996,EN
1,Carcharhinus melanopterus,39375,2006,2000,NT
1,Cheilinus undulatus,4592,2006,2004,EN
1,Chelonia mydas,4615,2006,2004,EN
1,Eretmochelys imbricata,8005,2006,1996,CR
1,Isurus oxyrinchus,39341,2006,2000,NT
1,Isurus oxyrinchus,161750,2006,,VU
1,Lepidochelys olivacea,11534,2006,1996,EN
1,Megaptera novaeangliae,13006,2006,1996,VU
1,Prionace glauca,39381,2006,2000,NT
1,Rhincodon typus,19488,2006,2005,VU
1,Steno bredanensis,20738,2006,,LC
1,Triaenodon obesus,39384,2006,2000,NT
1,Alopias vulpinus,39339,2005,,VU
1,Balaenoptera musculus,2477,2005,1996,EN
1,Carcharhinus melanopterus,39375,2005,2000,NT
1,Cheilinus undulatus,4592,2005,2004,EN
1,Chelonia mydas,4615,2005,2004,EN
1,Eretmochelys imbricata,8005,2005,1996,CR
1,Isurus oxyrinchus,39341,2005,2000,NT
1,Isurus oxyrinchus,161750,2005,,VU
1,Lepidochelys olivacea,11534,2005,1996,EN
1,Megaptera novaeangliae,13006,2005,1996,VU
1,Prionace glauca,39381,2005,2000,NT
1,Rhincodon typus,19488,2005,2005,VU
1,Steno bredanensis,20738,2005,,LC
1,Triaenodon obesus,39384,2005,2000,NT
1,Alopias vulpinus,39339,2004,,VU
1,Balaenoptera musculus,2477,2004,1996,EN
1,Carcharhinus melanopterus,39375,2004,2000,NT
1,Cheilinus undulatus,4592,2004,2004,EN
1,Chelonia mydas,4615,2004,2004,EN
1,Eretmochelys imbricata,8005,2004,1996,CR
1,Isurus oxyrinchus,39341,2004,2000,NT
1,Isurus oxyrinchus,161750,2004,,VU
1,Lepidochelys olivacea,11534,2004,1996,EN
1,Megaptera novaeangliae,13006,2004,1996,VU
1,Prionace glauca,39381,2004,2000,NT
1,Rhincodon typus,19488,2004,2000,VU
1,Steno bredanensis,20738,2004,,LC
1,Triaenodon obesus,39384,2004,2000,NT
1,Alopias vulpinus,39339,2003,,VU
1,Balaenoptera musculus,2477,2003,1996,EN
1,Carcharhinus melanopterus,39375,2003,2000,NT
1,Cheilinus undulatus,4592,2003,1996,VU
1,Chelonia mydas,4615,2003,1996,EN
1,Eretmochelys imbricata,8005,2003,1996,CR
1,Isurus oxyrinchus,39341,2003,2000,NT
1,Isurus oxyrinchus,161750,2003,,VU
1,Lepidochelys olivacea,11534,2003,1996,EN
1,Megaptera novaeangliae,13006,2003,1996,VU
1,Prionace glauca,39381,2003,2000,NT
1,Rhincodon typus,19488,2003,2000,VU
1,Steno bredanensis,20738,2003,,LC
1,Triaenodon obesus,39384,2003,2000,NT
1,Alopias vulpinus,39339,2002,,VU
1,Balaenoptera musculus,2477,2002,1996,EN
1,Carcharhinus melanopterus,39375,2002,2000,NT
1,Cheilinus undulatus,4592,2002,1996,VU
1,Chelonia mydas,4615,2002,1996,EN
1,Eretmochelys imbricata,8005,2002,1996,CR
1,Isurus oxyrinchus,39341,2002,2000,NT
1,Isurus oxyrinchus,161750,2002,,VU
1,Lepidochelys olivacea,11534,2002,1996,EN
1,Megaptera novaeangliae,13006,2002,1996,VU
1,Prionace glauca,39381,2002,2000,NT
1,Rhincodon typus,19488,2002,2000,VU
1,Steno bredanensis,20738,2002,,LC
1,Triaenodon obesus,39384,2002,2000,NT
1,Alopias vulpinus,39339,2001,,VU
1,Balaenoptera musculus,2477,2001,1996,EN
1,Carcharhinus melanopterus,39375,2001,2000,NT
1,Cheilinus undulatus,4592,2001,1996,VU
1,Chelonia mydas,4615,2001,1996,EN
1,Eretmochelys imbricata,8005,2001,1996,CR
1,Isurus oxyrinchus,39341,2001,2000,NT
1,Isurus oxyrinchus,161750,2001,,VU
1,Lepidochelys olivacea,11534,2001,1996,EN
1,Megaptera novaeangliae,13006,2001,1996,VU
1,Prionace glauca,39381,2001,2000,NT
1,Rhincodon typus,19488,2001,2000,VU
1,Steno bredanensis,20738,2001,,LC
1,Triaenodon obesus,39384,2001,2000,NT
1,Alopias vulpinus,39339,2000,,VU
1,Balaenoptera musculus,2477,2000,1996,EN
1,Carcharhinus melanopterus,39375,2000,2000,NT
1,Cheilinus undulatus,4592,2000,1996,VU
1,Chelonia mydas,4615,2000,1996,EN
1,Eretmochelys imbricata,8005,2000,1996,CR
1,Isurus oxyrinchus,39341,2000,2000,NT
1,Isurus oxyrinchus,161750,2000,,VU
1,Lepidochelys olivacea,11534,2000,1996,EN
1,Megaptera novaeangliae,13006,2000,1996,VU
1,Prionace glauca,39381,2000,2000,NT
1,Rhincodon typus,19488,2000,2000,VU
1,Steno bredanensis,20738,2000,,LC
1,Triaenodon obesus,39384,2000,2000,NT
1,Alopias vulpinus,39339,1999,,VU
1,Balaenoptera musculus,2477,1999,1996,EN
1,Carcharhinus melanopterus,39375,1999,,NT
1,Cheilinus undulatus,4592,1999,1996,VU
1,Chelonia mydas,4615,1999,1996,EN
1,Eretmochelys imbricata,8005,1999,1996,CR
1,Isurus oxyrinchus,39341,1999,,NT
1,Isurus oxyrinchus,161750,1999,,VU
1,Lepidochelys olivacea,11534,1999,1996,EN
1,Megaptera novaeangliae,13006,1999,1996,VU
1,Prionace glauca,39381,1999,,NT
1,Rhincodon typus,19488,1999,,VU
1,Steno bredanensis,20738,1999,,LC
1,Triaenodon obesus,39384,1999,,NT
1,Alopias vulpinus,39339,1998,,VU
1,Balaenoptera musculus,2477,1998,1996,EN
1,Carcharhinus melanopterus,39375,1998,,NT
1,Cheilinus undulatus,4592,1998,1996,VU
1,Chelonia mydas,4615,1998,1996,EN
1,Eretmochelys imbricata,8005,1998,1996,CR
1,Isurus oxyrinchus,39341,1998,,NT
1,Isurus oxyrinchus,161750,1998,,VU
1,Lepidochelys olivacea,11534,1998,1996,EN
1,Megaptera novaeangliae,13006,1998,1996,VU
1,Prionace glauca,39381,1998,,NT
1,Rhincodon typus,19488,1998,,VU
1,Steno bredanensis,20738,1998,,LC
1,Triaenodon obesus,39384,1998,,NT
1,Alopias vulpinus,39339,1997,,VU
1,Balaenoptera musculus,2477,1997,1996,EN
1,Carcharhinus melanopterus,39375,1997,,NT
1,Cheilinus undulatus,4592,1997,1996,VU
1,Chelonia mydas,4615,1997,1996,EN
1,Eretmochelys imbricata,8005,1997,1996,CR
1,Isurus oxyrinchus,39341,1997,,NT
1,Isurus oxyrinchus,161750,1997,,VU
1,Lepidochelys olivacea,11534,1997,1996,EN
1,Megaptera novaeangliae,13006,1997,1996,VU
1,Prionace glauca,39381,1997,,NT
1,Rhincodon typus,19488,1997,,VU
1,Steno bredanensis,20738,1997,,LC
1,Triaenodon obesus,39384,1997,,NT
1,Alopias vulpinus,39339,1996,,VU
1,Balaenoptera musculus,2477,1996,1996,EN
1,Carcharhinus melanopterus,39375,1996,,NT
1,Cheilinus undulatus,4592,1996,1996,VU
1,Chelonia mydas,4615,1996,1996,EN
1,Eretmochelys imbricata,8005,1996,1996,CR
1,Isurus oxyrinchus,39341,1996,,NT
1,Isurus oxyrinchus,161750,1996,,VU
1,Lepidochelys olivacea,11534,1996,1996,EN
1,Megaptera novaeangliae,13006,1996,1996,VU
1,Prionace glauca,39381,1996,,NT
1,Rhincodon typus,19488,1996,,VU
1,Steno bredanensis,20738,1996,,LC
1,Triaenodon obesus,39384,1996,,NT
1,Alopias vulpinus,39339,1995,,VU
1,Balaenoptera musculus,2477,1995,1994,EN
1,Carcharhinus melanopterus,39375,1995,,NT
1,Cheilinus undulatus,4592,1995,,VU
1,Chelonia mydas,4615,1995,1994,EN
1,Eretmochelys imbricata,8005,1995,1994,EN
1,Isurus oxyrinchus,39341,1995,,NT
1,Isurus oxyrinchus,161750,1995,,VU
1,Lepidochelys olivacea,11534,1995,1994,EN
1,Megaptera novaeangliae,13006,1995,1994,VU
1,Prionace glauca,39381,1995,,NT
1,Rhincodon typus,19488,1995,,VU
1,Steno bredanensis,20738,1995,,LC
1,Triaenodon obesus,39384,1995,,NT
1,Alopias vulpinus,39339,1994,,VU
1,Balaenoptera musculus,2477,1994,1994,EN
1,Carcharhinus melanopterus,39375,1994,,NT
1,Cheilinus undulatus,4592,1994,,VU
1,Chelonia mydas,4615,1994,1994,EN
1,Eretmochelys imbricata,8005,1994,1994,EN
1,Isurus oxyrinchus,39341,1994,,NT
1,Isurus oxyrinchus,161750,1994,,VU
1,Lepidochelys olivacea,11534,1994,1994,EN
1,Megaptera novaeangliae,13006,1994,1994,VU
1,Prionace glauca,39381,1994,,NT
1,Rhincodon typus,19488,1994,,VU
1,Steno bredanensis,20738,1994,,LC
1,Triaenodon obesus,39384,1994,,NT
1,Alopias vulpinus,39339,1993,,VU
1,Balaenoptera musculus,2477,1993,1990,EN
1,Carcharhinus melanopterus,39375,1993,,NT
1,Cheilinus undulatus,4592,1993,,VU
1,Chelonia mydas,4615,1993,1990,EN
1,Eretmochelys imbricata,8005,1993,1990,EN
1,Isurus oxyrinchus,39341,1993,,NT
1,Isurus oxyrinchus,161750,1993,,VU
1,Lepidochelys olivacea,11534,1993,1990,EN
1,Megaptera novaeangliae,13006,1993,1990,VU
1,Prionace glauca,39381,1993,,NT
1,Rhincodon typus,19488,1993,,VU
1,Steno bredanensis,20738,1993,,LC
1,Triaenodon obesus,39384,1993,,NT
1,Alopias vulpinus,39339,1992,,VU
1,Balaenoptera musculus,2477,1992,1990,EN
1,Carcharhinus melanopterus,39375,1992,,NT
1,Cheilinus undulatus,4592,1992,,VU
1,Chelonia mydas,4615,1992,1990,EN
1,Eretmochelys imbricata,8005,1992,1990,EN
1,Isurus oxyrinchus,39341,1992,,NT
1,Isurus oxyrinchus,161750,1992,,VU
1,Lepidochelys olivacea,11534,1992,1990,EN
1,Megaptera novaeangliae,13006,1992,1990,VU
1,Prionace glauca,39381,1992,,NT
1,Rhincodon typus,19488,1992,,VU
1,Steno bredanensis,20738,1992,,LC
1,Triaenodon obesus,39384,1992,,NT
